step,gs0,gs1,gs2,
0,964,961,962,
1,964,961,962,
2,964,961,962,
3,964,961,962,
4,962,961,962,
5,962,961,962,
6,958,955,956,
7,958,955,956,
8,955,952,954,
9,955,952,954,
10,957,954,957,
11,957,954,957,
12,960,957,960,
13,960,957,960,
14,964,961,962,
15,964,961,962,
16,964,961,962,
17,964,961,962,
18,964,961,962,
19,964,961,962,
20,963,961,962,
21,963,961,962,
22,964,961,962,
23,964,961,962,
24,963,961,962,
25,963,961,962,
26,964,961,962,
27,964,961,962,
28,964,961,962,
29,964,961,962,
30,964,961,962,
31,964,961,962,
32,964,961,962,
33,964,961,962,
34,964,961,962,
35,964,961,962,
36,964,961,962,
37,964,961,962,
38,964,961,962,
39,964,961,962,
40,963,960,961,
41,963,960,961,
42,962,959,961,
43,964,960,962,
44,964,960,962,
45,962,959,962,
46,962,959,962,
47,920,943,954,
48,920,943,954,
49,372,512,770,
50,372,512,770,
51,364,312,398,
52,364,312,398,
53,367,308,390,
54,367,308,390,
55,358,310,395,
56,358,310,395,
57,367,308,406,
58,367,308,406,
59,364,307,398,
60,364,307,398,
61,363,307,399,
62,363,307,399,
63,359,316,402,
64,359,316,402,
65,367,308,403,
66,367,308,403,
67,362,314,399,
68,362,314,399,
69,367,312,398,
70,367,312,398,
71,364,307,396,
72,364,307,396,
73,364,312,406,
74,364,312,406,
75,359,314,396,
76,359,314,396,
77,361,312,404,
78,361,312,404,
79,356,312,394,
80,356,312,394,
81,356,300,399,
82,358,305,396,
83,358,305,396,
84,354,309,390,
85,354,309,390,
86,355,305,393,
87,355,305,393,
88,386,316,399,
89,386,316,399,
90,816,558,571,
91,816,558,571,
92,962,957,957,
93,962,957,957,
94,963,960,961,
95,963,960,961,
96,962,960,961,
97,962,960,961,
98,962,960,961,
99,962,960,961,
100,962,960,961,
101,962,960,961,
102,962,960,962,
103,962,960,962,
104,964,960,962,
105,964,960,962,
106,962,961,962,
107,962,961,962,
108,964,961,962,
109,964,961,962,
110,964,961,962,
111,964,961,962,
112,961,959,960,
113,961,959,960,
114,958,956,958,
115,958,956,958,
116,956,954,957,
117,956,954,957,
118,952,950,954,
119,950,946,949,
120,950,946,949,
121,949,946,950,
122,949,946,950,
123,956,954,953,
124,956,954,953,
125,961,959,962,
126,961,959,962,
127,963,960,962,
128,963,960,962,
129,963,960,962,
130,963,960,962,
131,961,959,960,
132,961,959,960,
133,964,961,962,
134,964,961,962,
135,964,961,962,
136,964,961,962,
137,964,961,962,
138,964,961,962,
139,963,961,963,
140,963,961,963,
141,964,961,962,
142,964,961,962,
143,964,961,962,
144,964,961,962,
145,964,961,962,
146,964,961,962,
147,964,961,962,
148,964,961,962,
149,964,960,962,
150,964,960,962,
151,964,961,961,
152,964,961,961,
153,964,961,962,
154,964,961,962,
155,964,961,962,
156,964,961,962,
157,964,961,962,
158,964,961,962,
159,963,961,962,
160,964,961,962,
161,964,961,962,
162,964,961,962,
163,964,961,962,
164,964,961,962,
165,964,961,962,
166,964,961,962,
167,964,961,962,
168,964,960,962,
169,964,960,962,
170,963,961,962,
