step,gs0,gs1,gs2,
0,963,959,961,
1,963,959,961,
2,963,959,961,
3,963,959,961,
4,963,959,960,
5,963,959,960,
6,961,957,958,
7,961,957,958,
8,955,952,952,
9,955,952,952,
10,952,949,950,
11,952,949,950,
12,952,949,950,
13,952,949,950,
14,955,953,954,
15,955,953,954,
16,962,958,959,
17,962,958,959,
18,962,959,960,
19,962,959,960,
20,960,957,958,
21,960,957,958,
22,962,959,959,
23,962,959,959,
24,961,959,960,
25,961,959,960,
26,962,958,959,
27,962,958,959,
28,958,958,959,
29,958,958,959,
30,947,959,959,
31,947,959,959,
32,468,959,960,
33,382,959,960,
34,382,959,960,
35,378,958,961,
36,378,958,961,
37,374,958,959,
38,374,958,959,
39,367,959,960,
40,367,959,960,
41,371,959,960,
42,371,959,960,
43,373,959,959,
44,373,959,959,
45,378,958,959,
46,378,958,959,
47,371,957,959,
48,371,957,959,
49,376,942,960,
50,376,942,960,
51,382,545,960,
52,382,545,960,
53,375,327,960,
54,375,327,960,
55,381,324,960,
56,381,324,960,
57,365,322,960,
58,365,322,960,
59,376,320,959,
60,376,320,959,
61,373,320,959,
62,373,320,959,
63,370,322,960,
64,370,322,960,
65,377,320,960,
66,377,320,960,
67,374,325,959,
68,374,325,959,
69,376,324,954,
70,376,324,954,
71,370,320,678,
72,371,320,474,
73,371,320,474,
74,377,326,395,
75,377,326,395,
76,372,321,401,
77,372,321,401,
78,371,314,396,
79,371,314,396,
80,372,322,403,
81,372,322,403,
82,374,315,403,
83,374,315,403,
84,374,320,394,
85,374,320,394,
86,380,326,397,
87,380,326,397,
88,511,320,406,
89,511,320,406,
90,949,320,398,
91,949,320,398,
92,957,320,399,
93,957,320,399,
94,960,316,395,
95,960,316,395,
96,961,314,396,
97,961,314,396,
98,961,314,402,
99,961,314,402,
100,961,320,409,
101,961,320,409,
102,961,320,408,
103,961,320,408,
104,961,320,390,
105,961,320,390,
106,962,324,391,
107,962,324,391,
108,961,417,398,
109,961,417,398,
110,962,934,396,
111,962,934,396,
112,961,956,395,
113,961,956,395,
114,961,958,398,
115,961,958,398,
116,963,960,398,
117,963,960,398,
118,963,961,399,
119,963,961,399,
120,963,961,408,
121,963,961,408,
122,963,960,399,
123,963,960,399,
124,963,961,415,
125,963,960,399,
126,963,960,399,
127,963,960,602,
128,963,960,602,
129,964,960,941,
130,964,960,941,
131,962,960,958,
132,962,960,958,
133,962,960,961,
134,962,960,961,
135,962,960,961,
136,962,960,961,
137,963,960,961,
138,963,960,961,
139,962,960,960,
140,962,960,960,
141,962,959,960,
142,962,959,960,
143,962,959,960,
144,962,959,960,
145,962,960,960,
146,962,960,960,
147,962,959,960,
148,962,959,960,
149,962,959,960,
150,962,959,960,
151,962,959,960,
